area,cca3,continent,production,import,export,consumption,import_dependence_pct,self_sufficiency_pct
Nicaragua,NIC,North America,0.0,494.8,450.8,44.0,1125.6,0.0
Solomon Islands,SLB,Oceania,0.0,24.9,0.0,24.9,100.0,0.0
Faroe Islands,FRO,Europe,0.0,21.4,0.6,20.9,102.6,0.0
Samoa,WSM,Oceania,11.3,8.4,0.0,19.7,42.7,57.3
Saint Kitts and Nevis,KNA,North America,0.0,17.1,0.0,17.1,100.0,0.0
Kiribati,KIR,Oceania,0.0,13.3,0.0,13.3,100.0,0.0
Eritrea,ERI,Africa,0.0,12.1,0.0,12.1,100.0,0.0
Equatorial Guinea,GNQ,Africa,0.0,10.6,0.3,10.3,102.8,0.0
Cook Islands,COK,Oceania,0.0,10.1,0.0,10.2,99.7,0.3
Nauru,NRU,Oceania,0.0,1.7,0.0,1.7,100.0,0.0
Guinea-Bissau,GNB,Africa,0.0,1.6,0.0,1.6,101.3,0.0
Niue,NIU,Oceania,0.0,0.8,0.0,0.8,100.0,0.0
Tuvalu,TUV,Oceania,0.0,0.0,0.0,0.0,100.0,0.0
Dominica,DMA,North America,204.2,20.4,228.6,-4.0,,
Uzbekistan,UZB,Asia,19185.5,7458.3,26816.0,-172.1,,
Mozambique,MOZ,Africa,0.0,120.9,516.5,-395.5,,
Latvia,LVA,Europe,0.0,2760.9,3382.0,-621.0,,
Saint Vincent and the Grenadines,VCT,North America,55.0,10.5,688.7,-623.2,,
Lithuania,LTU,Europe,0.0,6862.2,7787.7,-925.4,,
Comoros,COM,Africa,7882.2,110.1,9030.0,-1037.7,,
Honduras,HND,North America,1333.1,1617.2,4023.9,-1073.5,,
Italy,ITA,Europe,0.0,19654.3,21904.2,-2249.9,,
Madagascar,MDG,Africa,38379.0,225.0,48542.6,-9938.6,,
Zambia,ZMB,Africa,521.8,338.5,11079.6,-10219.2,,
Peru,PER,South America,100561.0,7191.9,119540.1,-11787.1,,
Bulgaria,BGR,Europe,0.0,4777.6,20617.7,-15840.1,,
