spice,area,cca3,continent,production,consumption
Anise/Cumin/Coriander,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,0.0,13264.0
Anise/Cumin/Coriander,United Republic of Tanzania,TZA,Africa,1340.3,1497.4
Anise/Cumin/Coriander,United States of America,USA,North America,0.0,36490.3
Anise/Cumin/Coriander,Uruguay,URY,South America,0.0,113.3
Anise/Cumin/Coriander,Uzbekistan,UZB,Asia,0.0,5687.1
Anise/Cumin/Coriander,Vanuatu,VUT,Oceania,0.0,0.8
Anise/Cumin/Coriander,Venezuela (Bolivarian Republic of),VEN,South America,0.0,237.1
Anise/Cumin/Coriander,Viet Nam,VNM,Asia,18557.8,13154.9
Anise/Cumin/Coriander,Yemen,YEM,Asia,0.0,7337.1
Anise/Cumin/Coriander,Zambia,ZMB,Africa,0.0,9.9
Anise/Cumin/Coriander,Zimbabwe,ZWE,Africa,84.0,119.2
Chillies (dry),Afghanistan,AFG,Asia,0.0,-160.6
Chillies (dry),Albania,ALB,Europe,0.0,833.8
Chillies (dry),Algeria,DZA,Africa,15405.2,21783.6
Chillies (dry),Angola,AGO,Africa,0.0,62.8
Chillies (dry),Antigua and Barbuda,ATG,North America,0.0,18.9
Chillies (dry),Argentina,ARG,South America,3182.6,5060.7
Chillies (dry),Armenia,ARM,Asia,0.0,444.3
Chillies (dry),Australia,AUS,Oceania,0.0,5055.8
Chillies (dry),Austria,AUT,Europe,0.0,2661.4
Chillies (dry),Azerbaijan,AZE,Asia,0.0,429.7
Chillies (dry),Bahamas,BHS,North America,0.0,17.0
Chillies (dry),Bahrain,BHR,Asia,0.0,738.0
Chillies (dry),Bangladesh,BGD,Asia,662833.0,733343.8
Chillies (dry),Barbados,BRB,North America,0.0,75.5
Chillies (dry),Belarus,BLR,Europe,0.0,65.1
Chillies (dry),Belgium,BEL,Europe,0.0,1039.4
Chillies (dry),Belize,BLZ,North America,0.0,1.8
Chillies (dry),Benin,BEN,Africa,134120.2,135394.5
Chillies (dry),Bhutan,BTN,Asia,193.6,473.2
Chillies (dry),Bolivia (Plurinational State of),BOL,South America,0.0,31.2
Chillies (dry),Bosnia and Herzegovina,BIH,Europe,24269.0,24719.7
Chillies (dry),Botswana,BWA,Africa,0.0,5.1
Chillies (dry),Brazil,BRA,South America,0.0,2380.6
Chillies (dry),Brunei Darussalam,BRN,Asia,0.0,355.2
Chillies (dry),Bulgaria,BGR,Europe,0.0,1864.5
Chillies (dry),Burkina Faso,BFA,Africa,0.0,141.6
Chillies (dry),Burundi,BDI,Africa,0.0,0.0
Chillies (dry),Cabo Verde,CPV,Africa,1524.5,1529.7
Chillies (dry),Cambodia,KHM,Asia,13359.4,13378.1
Chillies (dry),Cameroon,CMR,Africa,42786.8,42785.4
Chillies (dry),Canada,CAN,North America,0.0,9827.2
